"BBKK_ID","SubDist","Dist","SubC","Place","Unit","Housing","MVoter","FMVoter","Voter","DistC"
6666,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณโรงเรียนบูรณะศึกษา (ซอยประชาอุทิศ 76)",33,285,369,416,785,"1049"
6667,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณโรงเรียนบูรณะศึกษา (ซอยประชาอุทิศ 76)",34,223,357,398,755,"1049"
6668,"ทุ่งครุ","เขตทุ่งครุ",104902,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร (ซอยประชาอุทิศ 76)",35,342,456,540,996,"1049"
6669,"ทุ่งครุ","เขตทุ่งครุ",104902,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร (ซอยประชาอุทิศ 76)",36,259,343,398,741,"1049"
6670,"ทุ่งครุ","เขตทุ่งครุ",104902,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร (ซอยประชาอุทิศ 76)",37,313,398,466,864,"1049"
6671,"ทุ่งครุ","เขตทุ่งครุ",104902,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร (ซอยประชาอุทิศ 76)",38,324,395,503,898,"1049"
6672,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณตลาดสุขรุ่งเรืองมาร์เก็ต",39,418,426,543,969,"1049"
6673,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณตลาดสุขรุ่งเรืองมาร์เก็ต",40,535,493,582,1075,"1049"
6674,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณตลาดสุขรุ่งเรืองมาร์เก็ต",41,310,427,498,925,"1049"
6675,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนรางราชพฤกษ์นุชมีอุทิศ (ซอยประชาอุทิศ 72)",42,143,303,306,609,"1049"
6676,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนรางราชพฤกษ์นุชมีอุทิศ (ซอยประชาอุทิศ 72)",43,198,223,314,537,"1049"
6677,"ทุ่งครุ","เขตทุ่งครุ",104902,"มัสยิดเนียะมะตุลลอฮ์ (ซอยประชาอุทิศ 72)",44,342,391,421,812,"1049"
6678,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณมัสยิดเนียะมะตุลลอฮ์ (ซอยประชาอุทิศ 72)",45,236,364,443,807,"1049"
6679,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณมัสยิดเนียะมะตุลลอฮ์ (ซอยประชาอุทิศ 72)",46,262,353,402,755,"1049"
6680,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณมัสยิดเนียะมะตุลลอฮ์ (ซอยประชาอุทิศ 72)",47,259,384,437,821,"1049"
6681,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณวัดทุ่งครุ",48,498,419,574,993,"1049"
6682,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณวัดทุ่งครุ",49,416,372,501,873,"1049"
6683,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณวัดทุ่งครุ",50,292,490,537,1027,"1049"
6684,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณวัดทุ่งครุ",51,240,389,479,868,"1049"
6685,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณวัดทุ่งครุ",52,394,444,513,957,"1049"
6686,"ทุ่งครุ","เขตทุ่งครุ",104902,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร (ซอยประชาอุทิศ 90)",53,368,364,494,858,"1049"
6687,"ทุ่งครุ","เขตทุ่งครุ",104902,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร (ซอยประชาอุทิศ 90)",54,293,343,339,682,"1049"
6688,"ทุ่งครุ","เขตทุ่งครุ",104902,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร (ซอยประชาอุทิศ 90)",55,195,364,428,792,"1049"
6689,"ทุ่งครุ","เขตทุ่งครุ",104902,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร (ซอยประชาอุทิศ 90)",56,272,396,468,864,"1049"
6690,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนวัดทุ่งครุ",57,309,383,458,841,"1049"
6691,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนวัดทุ่งครุ",58,227,376,413,789,"1049"
6692,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนวัดทุ่งครุ",59,192,445,476,921,"1049"
6693,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนวัดทุ่งครุ",60,289,341,386,727,"1049"
6694,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนวัดทุ่งครุ",61,335,395,461,856,"1049"
6695,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนวัดทุ่งครุ",62,372,460,542,1002,"1049"
6696,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนวัดทุ่งครุ",63,302,331,420,751,"1049"
6697,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนวัดทุ่งครุ",64,399,444,545,989,"1049"
